File Name,Pixel Count
20240426_135911,1188365
20240426_134953,1274572
20240426_103251,1224960
20240426_103523,1193176
20240426_135708,1120323
20240426_123816,445403
20240426_123221,552094
20240426_121426,621124
20240426_140231,1230993
20240426_103334,1141189
20240426_123345,440733
20240426_123740,803469
20240426_140032,1323750
20240426_120920,910609
20240426_140420,1269077
20240426_121021,1061215
20240426_135445,1266083
20240426_103423,1632561
20240426_135813,1286661
20240426_121245,874847
20240426_135557,1051961
20240426_103754,831039
20240426_123651,535792
20240426_103350,1289459
20240426_103540,1445203
20240426_120818,791567
20240426_123120,1045714
20240426_140336,1201545
20240426_121121,1066710
20240426_120607,746347
20240426_104217,747468
20240426_121334,578183
20240426_123442,819447
20240426_123300,640548
20240426_123048,913027
20240426_134858,1478027
20240426_103835,814945
20240426_135217,1133544
20240426_103439,1350217
20240426_123528,458274
20240426_134308,960624
20240426_103942,456545
20240426_104037,995120
20240426_134533,1213127
20240426_103406,1129612
20240426_104440,1059216
20240426_104332,980312
20240426_120521,892468
20240426_103501,1638078
20240426_104133,851397
20240426_120734,569892
20240426_103310,1212616
20240426_103700,784856
20240426_134218,1538344
20240426_135103,1626813
20240426_134753,1235197
20240426_104243,929854
20240426_134425,1231569
20240426_134632,1705547
20240426_140548,1253689
