File Name,Pixel Count
20240422_110119,932615
20240422_110044,934385
20240422_110442,1125194
20240422_123102,1225261
20240422_123339,1160899
20240422_144017,1178190
20240422_105922,1044407
20240422_125548,686269
20240422_105840,1121632
20240422_130018,826813
20240422_143545,1308657
20240422_110813,1171012
20240422_105946,1255769
20240422_143443,1281353
20240422_105600,1081599
20240422_125706,923737
20240422_125930,1080225
20240422_143653,1780183
20240422_123158,836261
20240422_125844,786609
20240422_125503,887887
20240422_143309,1465325
20240422_110354,1007647
20240422_125304,1138926
20240422_105813,1416526
20240422_123618,1094611
20240422_143728,1288313
20240422_110158,1009413
20240422_123815,948099
20240422_110617,1010203
20240422_143934,1544174
20240422_105633,1059236
20240422_143855,1309324
20240422_105751,1060993
20240422_123437,1198247
20240422_123525,1199668
20240422_110528,834872
20240422_143401,1078632
20240422_125223,1041008
20240422_123732,857999
20240422_125800,788686
20240422_105720,1222747
20240422_110259,781063
20240422_110728,1069717
20240422_105655,1019732
20240422_123046,978053
20240422_125345,911346
20240422_105901,1390791
20240422_143820,1434113
20240422_123253,1067421
