File Name,Pixel Count
20240429_100935,731258
20240429_143617,569970
20240429_143158,896465
20240429_144145,1014908
20240429_142508,870671
20240429_144019,887770
20240429_143010,549609
20240429_115256,268226
20240429_115732,374286
20240429_142708,546845
20240429_143821,1091241
20240429_095903,1575541
20240429_095718,1386921
20240429_144356,700287
20240429_142914,1179811
20240429_095805,1122136
20240429_115354,437834
20240429_142806,752543
20240429_144252,1010277
20240429_100014,1248920
20240429_115633,438624
20240429_115155,320587
20240429_100202,424969
20240429_115544,409998
20240429_095634,1252265
20240429_100616,438372
20240429_143300,1379508
20240429_143102,1305991
20240429_142615,395492
20240429_143709,656059
20240429_095951,1743498
20240429_114915,499969
20240429_100034,1399838
20240429_143910,798747
20240429_115004,382166
20240429_143530,770482
20240429_100351,437243
20240429_144117,772672
20240429_100754,523058
20240429_095820,1354976
20240429_115458,518535
20240429_143352,866762
20240429_115100,249128
20240429_100532,557888
20240429_100255,463356
20240429_100447,338814
20240429_095935,1175742
20240429_100720,478064
20240429_100858,667722
20240429_095843,630323
